2022-10-10 08:12:01 [INFO ]  ======================================== 2022-10-10 08:12:01 ========================================
2022-10-10 08:12:01 [INFO ]  Base directory is ./results/forgetting/FASHION_MNIST/
2022-10-10 08:12:01 [INFO ]  Options: 
2022-10-10 08:12:01 [INFO ]  	base_dir: null
2022-10-10 08:12:01 [INFO ]  	batch_size: 1024
2022-10-10 08:12:01 [INFO ]  	checkpoint_interval: 300
2022-10-10 08:12:01 [INFO ]  	dataset: FASHION_MNIST
2022-10-10 08:12:01 [INFO ]  	dataset_labels:
2022-10-10 08:12:01 [INFO ]  	- 0
2022-10-10 08:12:01 [INFO ]  	- 1
2022-10-10 08:12:01 [INFO ]  	- 2
2022-10-10 08:12:01 [INFO ]  	- 3
2022-10-10 08:12:01 [INFO ]  	- 4
2022-10-10 08:12:01 [INFO ]  	- 5
2022-10-10 08:12:01 [INFO ]  	- 6
2022-10-10 08:12:01 [INFO ]  	- 7
2022-10-10 08:12:01 [INFO ]  	- 8
2022-10-10 08:12:01 [INFO ]  	- 9
2022-10-10 08:12:01 [INFO ]  	dataset_normalization: !!python/tuple
2022-10-10 08:12:01 [INFO ]  	- !!python/tuple
2022-10-10 08:12:01 [INFO ]  	    - 0.2859
2022-10-10 08:12:01 [INFO ]  	    - 0.2859
2022-10-10 08:12:01 [INFO ]  	    - 0.2859
2022-10-10 08:12:01 [INFO ]  	- !!python/tuple
2022-10-10 08:12:01 [INFO ]  	    - 0.353
2022-10-10 08:12:01 [INFO ]  	    - 0.353
2022-10-10 08:12:01 [INFO ]  	    - 0.353
2022-10-10 08:12:01 [INFO ]  	dataset_root: ./data/fashion_mnist
2022-10-10 08:12:01 [INFO ]  	decay_epochs: 50
2022-10-10 08:12:01 [INFO ]  	decay_factor: 0.1
2022-10-10 08:12:01 [INFO ]  	device_id: 0
2022-10-10 08:12:01 [INFO ]  	distill_epochs: 1
2022-10-10 08:12:01 [INFO ]  	distill_lr: 0.02
2022-10-10 08:12:01 [INFO ]  	distill_steps: 1
2022-10-10 08:12:01 [INFO ]  	epochs: 50
2022-10-10 08:12:01 [INFO ]  	expand_cls: false
2022-10-10 08:12:01 [INFO ]  	forgetting_dataset: MNIST_RGB
2022-10-10 08:12:01 [INFO ]  	init: xavier
2022-10-10 08:12:01 [INFO ]  	init_param: 1.0
2022-10-10 08:12:01 [INFO ]  	input_size: 32
2022-10-10 08:12:01 [INFO ]  	ipc: 1
2022-10-10 08:12:01 [INFO ]  	log_file: ./results/forgetting/FASHION_MNIST/log.txt
2022-10-10 08:12:01 [INFO ]  	log_interval: 100
2022-10-10 08:12:01 [INFO ]  	log_level: INFO
2022-10-10 08:12:01 [INFO ]  	lr: 0.0002
2022-10-10 08:12:01 [INFO ]  	mode: forgetting
2022-10-10 08:12:01 [INFO ]  	nc: 3
2022-10-10 08:12:01 [INFO ]  	num_classes: 10
2022-10-10 08:12:01 [INFO ]  	num_workers: 8
2022-10-10 08:12:01 [INFO ]  	phase: train
2022-10-10 08:12:01 [INFO ]  	source_dataset: null
2022-10-10 08:12:01 [INFO ]  	start_time: '2022-10-10 08:12:01'
2022-10-10 08:12:01 [INFO ]  	test_batch_size: 1024
2022-10-10 08:12:01 [INFO ]  	
2022-10-10 08:12:01 [INFO ]  train dataset size:	60000
2022-10-10 08:12:01 [INFO ]  test dataset size: 	10000
2022-10-10 08:12:01 [INFO ]  datasets built!
2022-10-10 08:12:01 [INFO ]  Build one LeNet network with [xavier(1.0)] init
2022-10-10 08:12:04 [INFO ]   
2022-10-10 08:12:04 [INFO ]  MNIST_RGB: Evaluation BEFORE forgetting:
2022-10-10 08:12:04 [INFO ]  Test Accuracy: 9.51%	Test Loss: 8.5646
2022-10-10 08:12:05 [INFO ]   
2022-10-10 08:12:05 [INFO ]  FASHION_MNIST: Evaluation BEFORE forgetting:
2022-10-10 08:12:05 [INFO ]  Test Accuracy: 87.27%	Test Loss: 0.3620
2022-10-10 08:12:08 [INFO ]  Epoch:    0	Test Accuracy: 78.94%	Test Loss: 0.6494
2022-10-10 08:12:09 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 64.16%	Test Loss: 0.9879
2022-10-10 08:12:12 [INFO ]  Epoch:    1	Test Accuracy: 88.88%	Test Loss: 0.3696
2022-10-10 08:12:13 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 60.04%	Test Loss: 1.2109
2022-10-10 08:12:16 [INFO ]  Epoch:    2	Test Accuracy: 91.62%	Test Loss: 0.2740
2022-10-10 08:12:17 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 56.61%	Test Loss: 1.3453
2022-10-10 08:12:20 [INFO ]  Epoch:    3	Test Accuracy: 93.08%	Test Loss: 0.2285
2022-10-10 08:12:21 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 52.06%	Test Loss: 1.5021
2022-10-10 08:12:24 [INFO ]  Epoch:    4	Test Accuracy: 93.87%	Test Loss: 0.1972
2022-10-10 08:12:25 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 47.85%	Test Loss: 1.6494
2022-10-10 08:12:28 [INFO ]  Epoch:    5	Test Accuracy: 94.70%	Test Loss: 0.1718
2022-10-10 08:12:29 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 45.54%	Test Loss: 1.7170
2022-10-10 08:12:32 [INFO ]  Epoch:    6	Test Accuracy: 95.23%	Test Loss: 0.1540
2022-10-10 08:12:32 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 44.76%	Test Loss: 1.7585
2022-10-10 08:12:36 [INFO ]  Epoch:    7	Test Accuracy: 95.66%	Test Loss: 0.1428
2022-10-10 08:12:36 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 40.75%	Test Loss: 1.9529
2022-10-10 08:12:40 [INFO ]  Epoch:    8	Test Accuracy: 95.96%	Test Loss: 0.1322
2022-10-10 08:12:40 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 39.14%	Test Loss: 2.0114
2022-10-10 08:12:44 [INFO ]  Epoch:    9	Test Accuracy: 96.05%	Test Loss: 0.1264
2022-10-10 08:12:45 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 38.61%	Test Loss: 2.0290
2022-10-10 08:12:48 [INFO ]  Epoch:   10	Test Accuracy: 96.69%	Test Loss: 0.1108
2022-10-10 08:12:49 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 35.93%	Test Loss: 2.2200
2022-10-10 08:12:52 [INFO ]  Epoch:   11	Test Accuracy: 96.35%	Test Loss: 0.1180
2022-10-10 08:12:52 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 37.00%	Test Loss: 2.2870
2022-10-10 08:12:56 [INFO ]  Epoch:   12	Test Accuracy: 96.90%	Test Loss: 0.1000
2022-10-10 08:12:56 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 35.45%	Test Loss: 2.3155
2022-10-10 08:13:00 [INFO ]  Epoch:   13	Test Accuracy: 96.96%	Test Loss: 0.0955
2022-10-10 08:13:00 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 34.87%	Test Loss: 2.3665
2022-10-10 08:13:04 [INFO ]  Epoch:   14	Test Accuracy: 97.32%	Test Loss: 0.0894
2022-10-10 08:13:04 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 33.27%	Test Loss: 2.5215
2022-10-10 08:13:08 [INFO ]  Epoch:   15	Test Accuracy: 97.49%	Test Loss: 0.0833
2022-10-10 08:13:08 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 31.11%	Test Loss: 2.5857
2022-10-10 08:13:12 [INFO ]  Epoch:   16	Test Accuracy: 97.07%	Test Loss: 0.0929
2022-10-10 08:13:12 [INFO ]  Source: FASHION_MNIST	Test Accuracy: 32.55%	Test Loss: 2.4779
